. $ include < > ; void int char float double id ( ) [ digit ] { } = while do if else >= <= ! == != + - * / 
I135 . . . . . . . . . . sI154 sI119 . . sI117 . . . . . . . . . . . . . . . . . 
I26 . . . . . . . . . . r15 . . r15 . . . . . . . . . . . . . . . . . . 
I138 . . . . . . . . . . sI160 sI159 . . sI157 . . . . . . . . . . . . . . . . . 
I25 . . . . . . . . . . r14 . . r14 . . . . . . . . . . . . . . . . . . 
I137 . . . . . . . . . . . . . . . r50 . . . . . . . . . . . . r50 r50 . . 
I28 . . . . . . . . . . r17 . . r17 . . . . . . . . . . . . . . . . . . 
I27 . . . . . . . . . . r16 . . r16 . . . . . . . . . . . . . . . . . . 
I139 . . . . . . . . . . sI160 sI159 . . sI157 . . . . . . . . . . . . . . . . . 
I29 . . . . . . . . . . sI47 . . . . . . sI67 . sI44 . sI45 . . . . . . . . . . 
I31 . . . . . . . . . . sI47 . . . . . . . . sI44 . sI45 . . . . . . . . . . 
I121 . . . . . . . . . . . . sI143 . . . . . . . . . . . . . . . sI135 sI136 . . 
I30 r21 . . . . r21 r21 r21 r21 r21 . . . . . . . . . . . . . . . . . . . . . . 
I120 . . . . . . . . . . . . r12 . . . . . . . . . . . . . . . r12 r12 r12 r12 
I33 . . . . . . . . . . sI57 . . sI51 . . . . . . . . . . . . . . . . . . 
I123 . . . . r49 . . . . . . . . . . . . . . . . . . . . . . . r49 r49 . . 
I32 . . . . . . . . . . r26 . . . . . . r26 . r26 . r26 . . . . . . . . . . 
I122 . . . . . . . . . . . . . . . . . . . . r37 . . . . . . . . . . . 
I35 . . . . . . . . . . r29 . . . . . . r29 . r29 . r29 . . . . . . . . . . 
I125 . . . . r53 . . . . . . . . . . . . . . . . . . . . . . . r53 r53 . . 
I34 . . . . . . . . . . r28 . . . . . . r28 . r28 . r28 . . . . . . . . . . 
I124 . . . . r52 . . . . . . . . . . . . . . . . . . . . . . . r52 r52 . . 
I37 . . . . . . . . . . r14 . . r14 . . . . . . . . . . . . . . . . . . 
I127 . . . . r12 . . . . . . . . . . . . . . . . . . . . . . . r12 r12 . . 
I36 . . . . . . . . . . r30 . . . . . . r30 . r30 . r30 . . . . . . . . . . 
I126 . . . . . . . . . . sI120 sI119 . . sI117 . . . . . . . . . . . . . . . . . 
I39 . . . . . . . . . . r16 . . r16 . . . . . . . . . . . . . . . . . . 
I129 . . . . . . . . . . . . . . . r52 . . . . . . . . . . . . r52 r52 . . 
I38 . . . . . . . . . . r15 . . r15 . . . . . . . . . . . . . . . . . . 
I128 . . . . . . . . . . . . . . . r49 . . . . . . . . . . . . r49 r49 . . 
I150 . . . . . . . . . . . . . . . r12 . . . . . . . . . . . . r12 r12 r12 r12 
I40 . . . . . . . . . . r17 . . r17 . . . . . . . . . . . . . . . . . . 
I152 . . . . . . . . . . . . sI166 . . . . . . . . . . . . . . . sI135 sI136 . . 
I151 . . . . . . . . . . . . . . . r46 . . . . . . . . . . . . r46 r46 . . 
I42 . . . . . . . . . . r34 . . . . . . r34 . r34 . r34 . . . . . . . . . . 
I154 . . . . . . . . . . . . r12 . . . . . . . . . . . . . . . r12 r12 r12 r12 
I41 . . . . . . . . . . r33 . . . . . . r33 . r33 . r33 . . . . . . . . . . 
I153 . . . . . . . . . . . . r48 . . . . . . . . . . . . . . . r48 r48 . . 
I44 . . . . . . . . . . . sI60 . . . . . . . . . . . . . . . . . . . . 
I156 . . . . . . . . . . . . r49 . . . . . . . . . . . . . . . r49 r49 . . 
I43 . . . . . . . . . . . . . . . . . . sI61 . . . . . . . . . . . . . 
I155 . . . . . . . . . . . . r46 . . . . . . . . . . . . . . . r46 r46 . . 
I46 . . . . . . . . . . . . . . . sI62 . . . . . . . . . . . . . . . . 
I158 . . . . . . . . . . . . r53 . . . . . . . . . . . . . . . r53 r53 . . 
I45 . . . . . . . . . . . sI64 . . . . . . . . . . . . . . . . . . . . 
I157 . . . . . . . . . . . . r52 . . . . . . . . . . . . . . . r52 r52 . . 
I48 . . . . . . . . . . . . sI65 . . . . . . . . . . . . . . . . . . . 
I47 . . . . . . . . . . . . . sI66 . . . . r56 . . . . . . . . . . . . . 
I159 . . . . . . . . . . sI120 sI119 . . sI117 . . . . . . . . . . . . . . . . . 
I49 . . . . . . . . . . r18 . . r18 . . . . . . . . . . . . . . . . . . 
I51 . . . . . . . . . . . . . . sI52 . . . . . . . . . . . . . . . . . 
I141 . . . . . . . . . . r36 . . . . . . r36 . r36 . r36 sI162 . . . . . . . . . 
I50 . . . . . . . . . . . . r12 . . . . . . . . . . . . . . . . . . . 
I140 . . . . . . . . . . . . sI163 . . . . . . . . . . . . . . . sI135 sI136 . . 
I53 . . . . . . . . . . sI47 . . . . . . sI79 . sI44 . sI45 . . . . . . . . . . 
I143 . . . . . . . . . . . . . . . r54 . . . . . . . . . . . . r54 r54 r54 r54 
I52 . . . . . . . . . . . . . . . sI81 . . . . . . . . . . . . . . . . 
I142 . . . . . . . . . . sI47 . . . . . . sI164 . sI44 . sI45 . . . . . . . . . . 
I55 . . . . . . . . . . r25 . . . . . . . . r25 . r25 . . . . . . . . . . 
I145 . . . . . . . . . . r31 . . . . . . . . r31 . r31 . . . . . . . . . . 
I54 . . . . sI90 . . . . . . . . . . . . . . . . . . . . . . . . . . . 
I144 . . . . . . . . . . . . r38 . . . . . . . . . . . . . . . . . . . 
I57 . . . . r12 . . . . . . . . sI66 . . . . r56 . . . . . . . . . . . . . 
I147 . . . . r12 . . . . . . . . . . . . . . . . . . . . . . . r12 r12 r12 r12 
I56 . . . . . . . . . . r18 . . r18 . . . . . . . . . . . . . . . . . . 
I146 . . . . r48 . . . . . . . . . . . . . . . . . . . . . . . r48 r48 . . 
I59 . . . . . . . . . . . . . . . . . . . . sI91 . . . . . . . . . . . 
I149 . . . . . . . . . . . . . . . r48 . . . . . . . . . . . . r48 r48 . . 
I58 . . . . . . . . . . . . . . . . . . sI92 . . . . . . . . . . . . . 
I148 . . . . r46 . . . . . . . . . . . . . . . . . . . . . . . r46 r46 . . 
I170 . . . . . . . . . . . . sI171 . . . . . . . . . . . . . . . sI135 sI136 . . 
I60 . . . . . . . . . . sI71 . . . . . . . . . . . . . . . . . . . . . 
I172 . . . . . . . . . . sI47 . . . . . . sI173 . sI44 . sI45 . . . . . . . . . . 
I171 . . . . . . . . . . . . r54 . . . . . . . . . . . . . . . r54 r54 . . 
I62 . . . . . . . . . . . . . . . . . . r55 . . . . . . . . . . . . . 
I61 . . . . . . . . . . sI78 sI77 . . sI75 . . . . . . . . . . . . . . . . . 
I173 . . . . . . . . . . r35 . . . . . . r35 . r35 . r35 . . . . . . . . . . 
I64 . . . . . . . . . . sI71 . . . . . . . . . . . . . . . . . . . . . 
I63 . . . . . . . . . . . . . . . . sI82 . . . . . . . . . . . . . . . 
I66 . . . . . . . . . . sI89 sI88 . . sI86 . . . . . . . . . . . . . . . . . 
I65 . . . . . . . . . . . . . . . . r13 . . . . . . . . . . . . . . . 
I68 . . . . . . . . . . r27 . . . . . . r27 . r27 . r27 . . . . . . . . . . 
I67 r20 . . . . r20 r20 r20 r20 r20 . . . . . . . . . . . . . . . . . . . . . . 
I69 . . . . . . . . . . . . sI122 . . . . . . . . . . . . . . . . . . . 
I71 . . r12 r12 . . . . . . . . . . . . . . . . . . . r12 r12 r12 r12 r12 . . . . 
I161 . . . . . . . . . . . . r50 . . . . . . . . . . . . . . . r50 r50 . . 
I70 . . sI99 sI103 . . . . . . . . . . . . . . . . . . . sI97 sI98 sI100 sI101 sI102 . . . . 
I160 . . . . . . . . . . . . r12 . . . . . . . . . . . . . . . r12 r12 . . 
I73 . . . . r47 . . . . . . . . . . . . . . . . . . . . . . . r47 r47 . . 
I163 . . . . . . . . . . . . r54 . . . . . . . . . . . . . . . r54 r54 r54 r54 
I72 . . . . sI105 . . . . . . . . . . . . . . . . . . . . . . . sI106 sI107 . . 
I162 . . . . . . . . . . . . . . . . sI167 . . . . . . . . . . . . . . . 
I75 . . . . r52 . . . . . . . . . . . . . . . . . . . . . . . r52 r52 r52 r52 
I165 . . . . . . . . . . . . sI168 . . . . . . . . . . . . . . . sI135 sI136 . . 
I74 . . . . r51 . . . . . . . . . . . . . . . . . . . . . . . r51 r51 sI110 sI111 
I164 . . . . sI169 . . . . . . . . . . . . . . . . . . . . . . . . . . . 
I77 . . . . . . . . . . sI120 sI119 . . sI117 . . . . . . . . . . . . . . . . . 
I167 . . . . . . . . . . sI47 . . . . . . . . sI44 . sI45 . . . . . . . . . . 
I76 . . . . r53 . . . . . . . . . . . . . . . . . . . . . . . r53 r53 r53 r53 
I166 . . . . . . . . . . . . . . . r54 . . . . . . . . . . . . r54 r54 . . 
I79 r22 . . . . r22 r22 r22 r22 r22 . . . . . . . . . . . . . . . . . . . . . . 
I169 . . . . . . . . . . r32 . . . . . . r32 . r32 . r32 . . . . . . . . . . 
I78 . . . . r12 . . . . . . . . . . . . . . . . . . . . . . . r12 r12 r12 r12 
I168 . . . . r54 . . . . . . . . . . . . . . . . . . . . . . . r54 r54 . . 

